RegionName,RegionType,StateName,12/31/2020,3/31/2026
United States,country,,271027.7691,366018.8152
"New York, NY",msa,NY,528873.8935,715583.95
"Los Angeles, CA",msa,CA,735279.017,967836.2013
"Chicago, IL",msa,IL,252509.4816,344686.9921
"Dallas, TX",msa,TX,281917.1103,364734.09
"Houston, TX",msa,TX,242459.2026,307492.5203
"Washington, DC",msa,VA,473215.0555,580334.5892
"Philadelphia, PA",msa,PA,277084.0212,383957.8306
"Miami, FL",msa,FL,324974.4158,472936.5813
"Atlanta, GA",msa,GA,275206.52,379509.11
"Boston, MA",msa,MA,543486.21,731138.558
"Phoenix, AZ",msa,AZ,339466.8257,448160.2266
"San Francisco, CA",msa,CA,1007509.919,1143246.412
"Riverside, CA",msa,CA,426269.7409,585180.6157
"Detroit, MI",msa,MI,193701.0939,262839.8218
"Seattle, WA",msa,WA,581550.9192,751552.4489
"Minneapolis, MN",msa,MN,316474.3976,386374.184
"San Diego, CA",msa,CA,672415.0487,941934.5225
"Tampa, FL",msa,FL,258741.7283,357964.9006
"Denver, CO",msa,CO,475684.0394,573362.9031
"Baltimore, MD",msa,MD,319044.2651,399959.8142
"St. Louis, MO",msa,MO,201867.3305,270704.4865
"Orlando, FL",msa,FL,280641.9567,385990.82
"Charlotte, NC",msa,NC,271879.1899,387279.012
"San Antonio, TX",msa,TX,233148.0171,279025.6463
"Portland, OR",msa,OR,455246.6852,549144.1051
"Sacramento, CA",msa,CA,479257.2294,580005.9659
"Pittsburgh, PA",msa,PA,183414.0309,224487.2591
"Cincinnati, OH",msa,OH,220283.1819,305194.8392
"Austin, TX",msa,TX,368567.9826,427044.7521
"Las Vegas, NV",msa,NV,314362.1594,431014.88
"Kansas City, MO",msa,MO,233653.2393,323088.46
"Columbus, OH",msa,OH,236631.1354,326730.1089
"Indianapolis, IN",msa,IN,207887.5477,290744.5747
"Cleveland, OH",msa,OH,170664.0801,244469.0815
"San Jose, CA",msa,CA,1246046.593,1636392.733
"Nashville, TN",msa,TN,329089.9594,453872.5633
"Virginia Beach, VA",msa,VA,272557.7119,369237.9758
"Providence, RI",msa,RI,351004.459,514315.2176
"Jacksonville, FL",msa,FL,255410.9618,348911.57
"Milwaukee, WI",msa,WI,270344.817,379291.41
