year,age_group,total,owner,ownership_rate
1982,35 to 44,15298.0,10710.9,70.0
1982,45 to 54,12540.0,9708.7,77.4
1982,55 to 64,12957.0,10369.6,80.0
1982,65 and over,17440.0,12978.2,74.4
1982,Under 35,24860.0,10240.8,41.2
1983,35 to 44,15880.0,11008.0,69.3
1983,45 to 54,12476.0,9610.0,77.0
1983,55 to 64,13062.0,10442.0,79.9
1983,65 and over,17778.0,13341.0,75.0
1983,Under 35,24544.0,9997.0,40.7
1984,35 to 44,16709.0,11516.1,68.9
1984,45 to 54,12529.0,9580.1,76.5
1984,55 to 64,13105.0,10486.8,80.0
1984,65 and over,18218.0,13675.7,75.1
1984,Under 35,25055.0,10149.8,40.5
1985,35 to 44,17534.0,11943.1,68.1
1985,45 to 54,12674.0,9615.2,75.9
1985,55 to 64,13125.0,10437.1,79.5
1985,65 and over,18496.0,13841.4,74.8
1985,Under 35,25314.0,10089.5,39.9
1986,35 to 44,18090.0,12178.0,67.3
1986,45 to 54,12930.0,9826.6,76.0
1986,55 to 64,13003.0,10389.6,79.9
1986,65 and over,18829.0,14118.4,75.0
1986,Under 35,25498.0,10090.1,39.6
1987,35 to 44,18802.0,12631.0,67.2
1987,45 to 54,13237.0,10075.2,76.1
1987,55 to 64,12897.0,10343.8,80.2
1987,65 and over,19281.0,14548.7,75.5
1987,Under 35,25485.0,10056.6,39.5
1988,35 to 44,19281.0,12904.7,66.9
1988,45 to 54,13809.0,10440.4,75.6
1988,55 to 64,12755.0,10145.5,79.5
1988,65 and over,19700.0,14887.6,75.6
1988,Under 35,25579.0,10038.4,39.2
1989,35 to 44,20157.0,13429.0,66.6
1989,45 to 54,14273.0,10774.0,75.5
1989,55 to 64,12686.0,10096.0,79.6
1989,65 and over,19939.0,15106.0,75.8
1989,Under 35,26436.0,10348.0,39.1
1990,35 to 44,20807.0,13789.0,66.3
1990,45 to 54,14570.0,10957.0,75.2
1990,55 to 64,12628.0,10011.0,79.3
1990,65 and over,20350.0,15536.0,76.3
1990,Under 35,25864.0,9955.0,38.5
1991,35 to 44,21490.0,14137.0,65.8
1991,45 to 54,15038.0,11249.0,74.8
1991,55 to 64,12495.0,9999.0,80.0
1991,65 and over,20681.0,15962.0,77.2
1991,Under 35,25545.0,9664.0,37.8
1992,35 to 44,21835.0,14223.0,65.1
1992,45 to 54,15945.0,11977.0,75.1
1992,55 to 64,12502.0,10031.0,80.2
1992,65 and over,20891.0,16106.0,77.1
1992,Under 35,25217.0,9480.0,37.6
1993,35 to 44,22283.0,14573.0,65.4
1993,45 to 54,16801.0,12660.0,75.4
1993,55 to 64,12491.0,9972.0,79.8
1993,65 and over,21096.0,16304.0,77.3
1993,Under 35,25057.0,9489.0,37.9
1994,35 to 44,22837.0,14733.0,64.5
1994,45 to 54,17248.0,12962.0,75.2
1994,55 to 64,12256.0,9714.0,79.3
1994,65 and over,21030.0,16273.0,77.4
1994,Under 35,25320.0,9453.0,37.3
1995,35 to 44,23144.0,15093.0,65.2
1995,45 to 54,17962.0,13501.0,75.2
1995,55 to 64,12215.0,9712.0,79.5
1995,65 and over,21295.0,16629.0,78.1
1995,Under 35,25370.0,9803.0,38.6
1996,35 to 44,23727.0,15534.0,65.5
1996,45 to 54,18504.0,13996.0,75.6
1996,55 to 64,12310.0,9850.0,80.0
1996,65 and over,21370.0,16869.0,78.9
1996,Under 35,25072.0,9793.0,39.1
1997,35 to 44,24035.0,15880.0,66.1
1997,45 to 54,19182.0,14536.0,75.8
1997,55 to 64,12678.0,10150.0,80.1
1997,65 and over,21412.0,16946.0,79.1
1997,Under 35,24894.0,9630.0,38.7
1998,35 to 44,24167.0,16159.0,66.9
1998,45 to 54,19784.0,14969.0,75.7
1998,55 to 64,13106.0,10601.0,80.9
1998,65 and over,21566.0,17106.0,79.3
1998,Under 35,24910.0,9802.0,39.3
1999,35 to 44,24156.0,16228.0,67.2
1999,45 to 54,20385.0,15499.0,76.0
1999,55 to 64,13572.0,10989.0,81.0
1999,65 and over,21755.0,17433.0,80.1
1999,Under 35,25061.0,9949.0,39.7
2000,35 to 44,24211.0,16429.0,67.9
2000,45 to 54,20998.0,16058.0,76.5
2000,55 to 64,13817.0,11100.0,80.3
2000,65 and over,21771.0,17501.0,80.4
2000,Under 35,24922.0,10161.0,40.8
2001,35 to 44,24091.0,16441.0,68.2
2001,45 to 54,21817.0,16743.0,76.7
2001,55 to 64,14172.0,11526.0,81.3
2001,65 and over,21810.0,17524.0,80.3
2001,Under 35,25119.0,10360.0,41.2
2002,35 to 44,23894.0,16401.0,68.6
2002,45 to 54,22148.0,16891.0,76.3
2002,55 to 64,15102.0,12247.0,81.1
2002,65 and over,21916.0,17651.0,80.5
2002,Under 35,25478.0,10522.0,41.3
2003,35 to 44,22525.0,15394.0,68.3
2003,45 to 54,21535.0,16499.0,76.6
2003,55 to 64,15326.0,12468.0,81.4
2003,65 and over,21436.0,17253.0,80.5
2003,Under 35,24738.0,10439.0,42.2
2004,35 to 44,22206.0,15370.0,69.2
2004,45 to 54,21899.0,16905.0,77.2
2004,55 to 64,16040.0,13108.0,81.7
2004,65 and over,21548.0,17465.0,81.1
2004,Under 35,24894.0,10726.0,43.1
2005,35 to 44,22248.0,15412.0,69.3
2005,45 to 54,22375.0,17129.0,76.6
2005,55 to 64,16840.0,13668.0,81.2
2005,65 and over,21859.0,17622.0,80.6
2005,Under 35,24909.0,10723.0,43.0
2006,35 to 44,22004.0,15161.0,68.9
2006,45 to 54,22884.0,17445.0,76.2
2006,55 to 64,17523.0,14173.0,80.9
2006,65 and over,22189.0,17953.0,80.9
2006,Under 35,24976.0,10648.0,42.6
2007,35 to 44,21624.0,14663.0,67.8
2007,45 to 54,23089.0,17411.0,75.4
2007,55 to 64,18121.0,14610.0,80.6
2007,65 and over,22458.0,18056.0,80.4
2007,Under 35,25013.0,10418.0,41.7
